Height (cm),Keff,Error
165,0.908021,0.00074
158,0.910905,0.00071
139,0.914902,0.00071
84,0.91751,0.0007
205,0.921399,0.00067
104,0.926228,0.00069
141,0.934182,0.00068
86,0.93787,0.00069
143,0.945752,0.00064
207,0.951132,0.00066
183,0.953941,0.00064
122,0.958557,0.00065
126,0.963922,0.00063
203,0.966011,0.00067
102,0.970181,0.00066
147,0.974368,0.00066
82,0.980255,0.00063
185,0.983516,0.00069
178,0.990512,0.00065
100,0.994224,0.00061
201,0.996894,0.00063
80,1.0036,0.00066
99,1.00403,0.00064
119,1.00759,0.00063
218,1.01081,0.00061
182,1.0138,0.00063
142,1.02001,0.00062
107,1.02191,0.00065
87,1.0278,0.00062
159,1.02971,0.00062
164,1.03273,0.00062
121,1.03568,0.0006
199,1.03764,0.00062
204,1.04358,0.0006
140,1.04609,0.0006
105,1.05337,0.00065
85,1.05494,0.00059
180,1.05663,0.00058
101,1.06072,0.0006
200,1.06387,0.00062
184,1.06645,0.00055
179,1.06789,0.00059
118,1.06981,0.00057
98,1.07983,0.0006
125,1.08168,0.00058
127,1.08939,0.00053
186,1.09124,0.00061
83,1.09163,0.00055
202,1.09554,0.00056
146,1.09881,0.00055
103,1.10177,0.00056
132,1.10312,0.00058
116,1.10316,0.00059
96,1.10588,0.00054
191,1.10954,0.00058
129,1.1105,0.00059
114,1.11172,0.00056
151,1.11235,0.00059
215,1.11452,0.00053
94,1.11838,0.00059
188,1.12038,0.00055
130,1.12232,0.00056
175,1.12244,0.00052
171,1.12307,0.00053
208,1.12481,0.00054
89,1.12735,0.00052
195,1.12822,0.00058
211,1.13305,0.00053
155,1.13396,0.00052
92,1.13513,0.00052
112,1.1367,0.00053
157,1.13797,0.00051
213,1.13963,0.00052
136,1.13931,0.00052
173,1.14239,0.00052
95,1.14391,0.00054
150,1.14517,0.00052
190,1.14663,0.00051
189,1.14675,0.00052
131,1.14889,0.00053
176,1.14902,0.00052
133,1.1528,0.00054
192,1.15666,0.00055
97,0.813482,0.00077
152,0.822625,0.0008
117,0.825857,0.00077
196,0.831956,0.00074
113,0.838394,0.00075
212,0.844598,0.00078
93,0.848543,0.00077
88,0.85415,0.00074
209,0.855745,0.00073
108,0.872797,0.00075
170,0.877003,0.00071
135,0.882834,0.00071
210,0.885519,0.0007
154,0.888823,0.00074
111,0.891733,0.00072
169,0.895667,0.00071
194,0.901666,0.00071
